,pft,vname,units,distname,parama,paramb,cimin,cimax,median
105,CMT05-EGreen,pstemp_min; Minimum temperature for photosynthesis,degree_C,unif,-11.0,-5.0,-10.994000000000002,-5.1498558558558605,-7.997003003003
106,CMT05-EGreen,pstemp_low; The range of minimal temperatures for photosynthesis,degree_C,unif,2.0,9.0,2.0069999999999997,8.82516816816817,5.5034964964965
107,CMT05-EGreen,pstemp_high; The range of maximum temperatures for photosynthesis,degree_C,unif,20.0,26.0,20.006,25.8501441441441,23.002996996997
108,CMT05-EGreen,pstemp_max; Maximum temperature for photosynthesis,degree_C,unif,22.0,28.0,22.006,27.8501441441441,25.002996996997
109,CMT05-EGreen,Fine root productivity allocationn at 50 cm depth,percent,unif,0.005,4.0,0.008995,3.90022097597598,2.0044955005005
110,CMT05-EGreen,Cuticular conductance,µmol m-2 s-1,lnorm,8.0,0.7,342.693816651818,11766.1337124521,3006.45558607611
111,CMT05-EGreen,klai; Extinction coefficient for converting between LAI and foliar percent cover,unitless,unif,0.15,0.34,0.15019000000000002,0.335254564564565,0.245094904904905
112,CMT05-EGreen,labncon; Labile N concentration,g N m-2,unif,0.05,0.35,0.0503,0.34250720720720695,0.20014984984985001
113,CMT05-EGreen,ilai; Starting value for leaf area index,m2 m-2,norm,2.0,0.25,1.22744192345805,2.4910654440481896,2.00077333140795
114,CMT05-EGreen,SLA; specific leaf area,m2 kg leaf-1,weibull,3.486703,14.234129999999999,1.96327686300931,20.7124351783815,12.833678030021698
115,CMT05-Betula,Extinction coefficient,unitless,gamma,5.0,10.0,0.0739371731917833,1.02499118557003,0.46786487062656
116,CMT05-Betula,SW_albedo; Shortwave albedo,W m-2,unif,0.01,0.3,0.01029,0.292756966966967,0.15514485485485502
117,CMT05-Betula,ppfd50; Amount of photosynthetically active radiation at which stomates partially (half) close,µmol m-2 s-1,unif,5.0,145.0,5.14,141.503363363363,75.0699299299299
118,CMT05-Betula,vpd_open; Vapor pressure deficit for leaf stomata fully opened,Pa,unif,0.765,1.1,0.765335,1.09163304804805,0.932667332332332
119,CMT05-Betula,vpd_close; Vapor pressure deficit for leaf stomata fully closed,Pa,unif,3.25,5.0,3.25175,4.95629204204204,4.1258741241241195
120,CMT05-Betula,gcmax; Maximum canopy conductance,m s-1,unif,0.0025,0.0035,0.002501,0.00347502402402402,0.0030004994994995
121,CMT05-Betula,pstemp_low; The range of minimal temperatures for photosynthesis,degree_C,unif,2.0,9.0,2.0069999999999997,8.82516816816817,5.5034964964965
122,CMT05-Betula,Fine root productivity allocationn at 50 cm depth,percent,unif,0.005,4.0,0.008995,3.90022097597598,2.0044955005005
123,CMT05-Betula,Cuticular conductance,µmol m-2 s-1,lnorm,8.0,0.7,342.693816651818,11766.1337124521,3006.45558607611
124,CMT05-Betula,klai; Extinction coefficient for converting between LAI and foliar percent cover,unitless,unif,0.3,0.6,0.3003,0.592507207207207,0.45014984984984996
125,CMT05-Betula,Fine root productivity allocationn at 10 cm depth,percent,unif,5.0,25.0,5.02,24.500480480480498,15.009989989989998
126,CMT05-Betula,Fine root productivity allocationn at 20 cm depth,percent,unif,17.0,42.0,17.025,41.3756006006006,29.5124874874875
127,CMT05-Betula,Fine root productivity allocationn at 30 cm depth,percent,unif,35.0,56.0,35.021,55.4755045045045,45.5104894894895
128,CMT05-Betula,Fine root productivity allocationn at 40 cm depth,percent,unif,4.0,14.0,4.01,13.750240240240199,9.004994994994991
129,CMT05-Betula,pstemp_min; Minimum temperature for photosynthesis,degree_C,unif,-10.0,0.0,-9.99,-0.24975975975976,-4.99500500500501
130,CMT05-Betula,pstemp_high; The range of maximum temperatures for photosynthesis,degree_C,unif,15.0,25.0,15.01,24.750240240240196,20.004994994995002
131,CMT05-Betula,pstemp_max; Maximum temperature for photosynthesis,degree_C,unif,25.0,45.0,25.02,44.5004804804805,35.009989989990004
132,CMT05-Betula,labncon; Labile N concentration,g N m-2,unif,0.05,0.35,0.0503,0.34250720720720695,0.20014984984985001
133,CMT05-Betula,ilai; Starting value for leaf area index,m2 m-2,gamma,1.0,20.0,5.0025016679176706e-05,0.184644972554133,0.0349640506745122
134,CMT05-Betula,SLA; specific leaf area,m2 kg leaf-1,weibull,3.486703,14.234129999999999,1.96327686300931,20.7124351783815,12.833678030021698
135,CMT05-Sphag,Extinction coefficient,unitless,gamma,5.0,10.0,0.0739371731917833,1.02499118557003,0.46786487062656
136,CMT05-Sphag,SW_albedo; Shortwave albedo,W m-2,unif,0.01,0.3,0.01029,0.292756966966967,0.15514485485485502
137,CMT05-Sphag,ppfd50; Amount of photosynthetically active radiation at which stomates partially (half) close,µmol m-2 s-1,unif,5.0,145.0,5.14,141.503363363363,75.0699299299299
138,CMT05-Sphag,vpd_open; Vapor pressure deficit for leaf stomata fully opened,Pa,unif,0.765,1.1,0.765335,1.09163304804805,0.932667332332332
139,CMT05-Sphag,vpd_close; Vapor pressure deficit for leaf stomata fully closed,Pa,unif,3.25,5.0,3.25175,4.95629204204204,4.1258741241241195
140,CMT05-Sphag,gcmax; Maximum canopy conductance,m s-1,unif,0.0025,0.0035,0.002501,0.00347502402402402,0.0030004994994995
141,CMT05-Sphag,pstemp_min; Minimum temperature for photosynthesis,degree_C,unif,-11.0,-5.0,-10.994000000000002,-5.1498558558558605,-7.997003003003
142,CMT05-Sphag,pstemp_low; The range of minimal temperatures for photosynthesis,degree_C,unif,2.0,9.0,2.0069999999999997,8.82516816816817,5.5034964964965
143,CMT05-Sphag,pstemp_high; The range of maximum temperatures for photosynthesis,degree_C,unif,20.0,26.0,20.006,25.8501441441441,23.002996996997
144,CMT05-Sphag,pstemp_max; Maximum temperature for photosynthesis,degree_C,unif,22.0,28.0,22.006,27.8501441441441,25.002996996997
145,CMT05-Sphag,Cuticular conductance,µmol m-2 s-1,lnorm,8.0,0.7,342.693816651818,11766.1337124521,3006.45558607611
146,CMT05-Sphag,klai; Extinction coefficient for converting between LAI and foliar percent cover,unitless,unif,0.15,0.34,0.15019000000000002,0.335254564564565,0.245094904904905
147,CMT05-Sphag,labncon; Labile N concentration,g N m-2,unif,0.05,0.35,0.0503,0.34250720720720695,0.20014984984985001
148,CMT05-Sphag,ilai; Starting value for leaf area index,m2 m-2,norm,2.0,0.25,1.22744192345805,2.4910654440481896,2.00077333140795
149,CMT05-Sphag,SLA; specific leaf area,m2 kg leaf-1,weibull,3.486703,14.234129999999999,1.96327686300931,20.7124351783815,12.833678030021698
150,CMT06-Grasses,Extinction coefficient,unitless,gamma,5.0,10.0,0.0739371731917833,1.02499118557003,0.46786487062656
151,CMT06-Grasses,SW_albedo; Shortwave albedo,W m-2,unif,0.01,0.3,0.01029,0.292756966966967,0.15514485485485502
152,CMT06-Grasses,Fine root productivity allocationn at 30 cm depth,percent,unif,1.0,30.0,1.0290000000000001,29.275696696696702,15.5144854854855
153,CMT06-Grasses,Fine root productivity allocationn at 40 cm depth,percent,unif,0.5,10.0,0.5095,9.76272822822823,5.25474524524525
154,CMT06-Grasses,ppfd50; Amount of photosynthetically active radiation at which stomates partially (half) close,µmol m-2 s-1,unif,5.0,145.0,5.14,141.503363363363,75.0699299299299
155,CMT06-Grasses,vpd_open; Vapor pressure deficit for leaf stomata fully opened,Pa,unif,0.765,1.1,0.765335,1.09163304804805,0.932667332332332
156,CMT06-Grasses,vpd_close; Vapor pressure deficit for leaf stomata fully closed,Pa,unif,3.25,5.0,3.25175,4.95629204204204,4.1258741241241195
157,CMT06-Grasses,Fine root productivity allocationn at 10 cm depth,percent,unif,1.0,60.0,1.0590000000000002,58.5264174174174,30.5294704704705
158,CMT06-Grasses,Fine root productivity allocationn at 20 cm depth,percent,unif,10.0,90.0,10.08,88.0019219219219,50.039959959959994
159,CMT06-Grasses,gcmax; Maximum canopy conductance,m s-1,unif,0.0025,0.0035,0.002501,0.00347502402402402,0.0030004994994995
160,CMT06-Grasses,pstemp_low; The range of minimal temperatures for photosynthesis,degree_C,unif,2.0,9.0,2.0069999999999997,8.82516816816817,5.5034964964965
161,CMT06-Grasses,Fine root productivity allocationn at 50 cm depth,percent,unif,0.005,4.0,0.008995,3.90022097597598,2.0044955005005
162,CMT06-Grasses,Cuticular conductance,µmol m-2 s-1,lnorm,8.0,0.7,342.693816651818,11766.1337124521,3006.45558607611
163,CMT06-Grasses,pstemp_min; Minimum temperature for photosynthesis,degree_C,unif,-7.5,-2.5,-7.495,-2.62487987987988,-4.9975025025025
164,CMT06-Grasses,pstemp_high; The range of maximum temperatures for photosynthesis,degree_C,unif,10.0,30.0,10.02,29.500480480480498,20.009989989989997
165,CMT06-Grasses,pstemp_max; Maximum temperature for photosynthesis,degree_C,unif,25.0,45.0,25.02,44.5004804804805,35.009989989990004
166,CMT06-Grasses,labncon; Labile N concentration,g N m-2,unif,0.05,0.35,0.0503,0.34250720720720695,0.20014984984985001
167,CMT06-Grasses,ilai; Starting value for leaf area index,m2 m-2,gamma,1.0,20.0,5.0025016679176706e-05,0.184644972554133,0.0349640506745122
168,CMT06-Grasses,klai; Extinction coefficient for converting between LAI and foliar percent cover,unitless,gamma,1.0,6.0,0.000166750055597256,0.61548324184711,0.11654683558170699
169,CMT06-Grasses,SLA; specific leaf area,m2 kg leaf-1,weibull,3.486703,14.234129999999999,1.96327686300931,20.7124351783815,12.833678030021698
170,CMT06-Feather,Extinction coefficient,unitless,gamma,5.0,10.0,0.0739371731917833,1.02499118557003,0.46786487062656
171,CMT06-Feather,SW_albedo; Shortwave albedo,W m-2,unif,0.01,0.3,0.01029,0.292756966966967,0.15514485485485502
172,CMT06-Feather,ppfd50; Amount of photosynthetically active radiation at which stomates partially (half) close,µmol m-2 s-1,unif,5.0,145.0,5.14,141.503363363363,75.0699299299299
173,CMT06-Feather,vpd_open; Vapor pressure deficit for leaf stomata fully opened,Pa,unif,0.765,1.1,0.765335,1.09163304804805,0.932667332332332
174,CMT06-Feather,vpd_close; Vapor pressure deficit for leaf stomata fully closed,Pa,unif,3.25,5.0,3.25175,4.95629204204204,4.1258741241241195
175,CMT06-Feather,gcmax; Maximum canopy conductance,m s-1,unif,0.0025,0.0035,0.002501,0.00347502402402402,0.0030004994994995
176,CMT06-Feather,pstemp_min; Minimum temperature for photosynthesis,degree_C,unif,-11.0,-5.0,-10.994000000000002,-5.1498558558558605,-7.997003003003
177,CMT06-Feather,pstemp_low; The range of minimal temperatures for photosynthesis,degree_C,unif,2.0,9.0,2.0069999999999997,8.82516816816817,5.5034964964965
178,CMT06-Feather,pstemp_high; The range of maximum temperatures for photosynthesis,degree_C,unif,20.0,26.0,20.006,25.8501441441441,23.002996996997
179,CMT06-Feather,pstemp_max; Maximum temperature for photosynthesis,degree_C,unif,22.0,28.0,22.006,27.8501441441441,25.002996996997
180,CMT06-Feather,Cuticular conductance,µmol m-2 s-1,lnorm,8.0,0.7,342.693816651818,11766.1337124521,3006.45558607611
181,CMT06-Feather,klai; Extinction coefficient for converting between LAI and foliar percent cover,unitless,unif,0.15,0.34,0.15019000000000002,0.335254564564565,0.245094904904905
182,CMT06-Feather,labncon; Labile N concentration,g N m-2,unif,0.05,0.35,0.0503,0.34250720720720695,0.20014984984985001
183,CMT06-Feather,ilai; Starting value for leaf area index,m2 m-2,norm,2.0,0.25,1.22744192345805,2.4910654440481896,2.00077333140795
184,CMT06-Feather,SLA; specific leaf area,m2 kg leaf-1,weibull,3.486703,14.234129999999999,1.96327686300931,20.7124351783815,12.833678030021698
185,CMT06-Sphag,Extinction coefficient,unitless,gamma,5.0,10.0,0.0739371731917833,1.02499118557003,0.46786487062656
186,CMT06-Sphag,SW_albedo; Shortwave albedo,W m-2,unif,0.01,0.3,0.01029,0.292756966966967,0.15514485485485502
187,CMT06-Sphag,ppfd50; Amount of photosynthetically active radiation at which stomates partially (half) close,µmol m-2 s-1,unif,5.0,145.0,5.14,141.503363363363,75.0699299299299
188,CMT06-Sphag,vpd_open; Vapor pressure deficit for leaf stomata fully opened,Pa,unif,0.765,1.1,0.765335,1.09163304804805,0.932667332332332
189,CMT06-Sphag,vpd_close; Vapor pressure deficit for leaf stomata fully closed,Pa,unif,3.25,5.0,3.25175,4.95629204204204,4.1258741241241195
190,CMT06-Sphag,gcmax; Maximum canopy conductance,m s-1,unif,0.0025,0.0035,0.002501,0.00347502402402402,0.0030004994994995
191,CMT06-Sphag,pstemp_min; Minimum temperature for photosynthesis,degree_C,unif,-11.0,-5.0,-10.994000000000002,-5.1498558558558605,-7.997003003003
192,CMT06-Sphag,pstemp_low; The range of minimal temperatures for photosynthesis,degree_C,unif,2.0,9.0,2.0069999999999997,8.82516816816817,5.5034964964965
193,CMT06-Sphag,pstemp_high; The range of maximum temperatures for photosynthesis,degree_C,unif,20.0,26.0,20.006,25.8501441441441,23.002996996997
